sender_account,receiver_account,amount,timestamp,transaction_type,is_suspicious
A141,A392,780.77,2023-10-11 03:25:00,CashDeposit,0
A122,A140,1462.91,2023-06-10 03:39:00,ACH,0
A120,A139,2428.17,2023-05-03 06:40:00,DebitCard,0
A41,A70,903.95,2023-02-24 21:58:00,CreditCard,0
A78,A361,7135.6,2023-03-19 21:32:00,ACH,0
A169,A277,6564.02,2023-06-19 15:18:00,Wire,0
A426,A215,580.12,2023-05-22 19:18:00,CashDeposit,0
A10,A438,1375.32,2023-11-17 15:17:00,CashDeposit,0
A3,A482,715.86,2023-05-09 01:42:00,DebitCard,0
A436,A456,670.5,2023-12-14 03:12:00,Wire,0
A376,A279,75.17,2023-10-19 05:21:00,CashDeposit,0
A249,A112,1880.98,2023-04-10 08:56:00,Wire,0
A199,A172,1397.04,2023-09-01 12:42:00,Wire,0
A430,A239,105.7,2023-12-01 19:04:00,CreditCard,0
A273,A13,653.25,2023-11-27 04:51:00,Wire,0
A339,A13,4777.72,2023-01-31 13:32:00,Wire,0
A236,A93,547.72,2023-01-19 07:23:00,DebitCard,0
A108,A232,313.06,2023-04-30 00:01:00,DebitCard,0
A194,A142,1344.54,2023-10-01 19:09:00,Wire,0
A41,A240,8488.07,2023-01-08 01:22:00,CashDeposit,0
A487,A179,554.29,2023-03-23 15:16:00,ACH,0
A333,A20,2230.31,2023-10-02 14:35:00,ACH,0
A102,A429,2867.78,2023-01-08 10:04:00,CashDeposit,0
A64,A242,542.67,2023-09-01 17:49:00,ACH,0
A111,A238,2605.5,2023-09-12 16:01:00,DebitCard,0
A85,A310,917.05,2023-08-10 02:12:00,ACH,0
A83,A493,2001.01,2023-04-24 05:53:00,ACH,0
A475,A159,2007.68,2023-07-29 15:23:00,Wire,0
A366,A101,1534.77,2023-01-28 16:04:00,CashDeposit,0
A321,A124,189.26,2023-02-07 02:25:00,DebitCard,0
A307,A412,3607.29,2023-02-14 01:47:00,CashDeposit,0
A177,A272,773.62,2023-06-05 23:13:00,DebitCard,0
A331,A174,412.86,2023-01-05 14:33:00,Wire,0
A54,A221,83.26,2023-05-12 20:50:00,Wire,0
A222,A90,1787.56,2023-09-25 04:00:00,CashDeposit,0
A138,A315,2263.7,2023-10-22 06:09:00,CashDeposit,0
A238,A223,33.45,2023-10-28 15:22:00,CashDeposit,0
A436,A125,1435.26,2023-10-30 11:02:00,ACH,0
A230,A124,513.65,2023-10-01 05:45:00,Wire,0
A342,A194,2072.25,2023-05-03 11:28:00,ACH,0
A166,A93,383.21,2023-06-27 12:16:00,CreditCard,0
A132,A174,2348.43,2023-04-12 19:41:00,CashDeposit,0
A141,A284,977.92,2023-01-04 16:42:00,CashDeposit,0
A43,A123,5520.69,2023-09-20 04:06:00,Wire,0
A388,A123,295.89,2023-09-09 10:38:00,Wire,0
A251,A229,834.26,2023-10-16 16:45:00,ACH,0
A113,A207,240.89,2023-09-09 20:55:00,CreditCard,0
A297,A188,5172.38,2023-06-22 07:24:00,CashDeposit,0
A217,A381,4196.67,2023-07-20 09:22:00,DebitCard,0
A232,A138,596.65,2023-04-22 15:18:00,DebitCard,0
A369,A98,2157.53,2023-04-25 21:18:00,ACH,0
A486,A390,3398.97,2023-09-09 06:44:00,CreditCard,0
A378,A247,1620.26,2023-04-11 16:05:00,CashDeposit,0
A268,A305,1508.56,2023-04-14 00:52:00,ACH,0
A151,A116,553.75,2023-05-12 09:25:00,CreditCard,0
A362,A273,195.45,2023-02-16 02:05:00,DebitCard,0
A27,A283,4550.25,2023-04-17 08:43:00,CreditCard,0
A385,A251,4613.55,2023-02-07 08:25:00,ACH,0
A240,A245,2005.34,2023-06-10 08:52:00,DebitCard,0
A26,A129,828.09,2023-12-09 15:08:00,Wire,0
A33,A205,859.14,2023-06-29 00:56:00,ACH,0
A351,A27,2588.93,2023-02-25 05:48:00,CreditCard,0
A485,A155,4548.19,2023-02-01 00:19:00,CreditCard,0
A391,A213,4362.27,2023-08-09 18:05:00,CashDeposit,0
A115,A397,3027.12,2023-07-10 06:18:00,Wire,0
A226,A152,2054.62,2023-11-10 04:15:00,CashDeposit,0
A156,A291,175.78,2023-08-15 02:37:00,ACH,0
A378,A50,352.59,2023-12-12 00:10:00,CreditCard,0
A135,A338,4576.46,2023-01-30 13:25:00,CreditCard,0
A282,A38,1864.99,2023-02-26 23:48:00,ACH,0
A352,A304,18.48,2023-06-21 02:09:00,DebitCard,0
A147,A361,213.99,2023-04-13 22:25:00,Wire,0
A119,A473,2178.32,2023-04-07 07:42:00,CashDeposit,0
A478,A101,10.15,2023-06-04 18:55:00,ACH,0
A331,A76,350.63,2023-11-27 17:49:00,DebitCard,0
A36,A30,1591.4,2023-03-02 09:51:00,DebitCard,0
A422,A291,2354.63,2023-12-02 09:30:00,DebitCard,0
A239,A352,2110.88,2023-04-21 17:11:00,Wire,0
A256,A276,507.9,2023-06-29 18:50:00,Wire,0
A20,A455,2490.83,2023-06-07 07:07:00,DebitCard,0
A13,A46,541.65,2023-03-25 08:22:00,CashDeposit,0
A10,A391,787.27,2023-09-02 18:29:00,DebitCard,0
A390,A387,2744.72,2023-03-05 18:50:00,Wire,0
A226,A469,2097.55,2023-04-12 06:34:00,CreditCard,0
A223,A325,3783.91,2023-10-24 10:58:00,Wire,0
A240,A178,2143.63,2023-05-29 16:12:00,DebitCard,0
A53,A439,1680.09,2023-02-28 13:18:00,DebitCard,0
A253,A147,196.71,2023-08-30 05:44:00,Wire,0
A281,A18,916.83,2023-06-15 14:19:00,ACH,0
A165,A59,616.32,2023-10-09 06:37:00,Wire,0
A422,A0,559.4,2023-08-28 10:43:00,CashDeposit,0
A27,A96,7224.62,2023-07-08 18:11:00,DebitCard,0
A255,A320,998.77,2023-06-10 22:36:00,ACH,0
A281,A67,4452.11,2023-12-04 18:07:00,DebitCard,0
A357,A248,1994.67,2023-02-14 05:02:00,ACH,0
A311,A409,3167.65,2023-03-29 03:00:00,CreditCard,0
A7,A282,1396.87,2023-05-29 13:04:00,ACH,0
A430,A467,1720.31,2023-02-11 07:26:00,Wire,0
A331,A426,1356.59,2023-02-26 01:25:00,Wire,0
A149,A260,434.43,2023-09-14 19:58:00,DebitCard,0
A247,A241,2563.52,2023-03-30 17:45:00,Wire,0
A196,A97,659.15,2023-12-02 15:24:00,CashDeposit,0
A450,A69,49.23,2023-11-11 13:58:00,ACH,0
A404,A437,2073.94,2023-06-01 01:49:00,DebitCard,0
A259,A136,389.87,2023-10-26 18:04:00,ACH,0
A152,A428,5642.17,2023-08-02 16:44:00,CashDeposit,0
A250,A443,6155.12,2023-02-24 02:26:00,Wire,0
A176,A170,4927.02,2023-07-20 22:43:00,CashDeposit,0
A477,A164,924.57,2023-11-13 14:41:00,CreditCard,0
A122,A292,31.15,2023-05-20 10:27:00,CreditCard,0
A210,A22,5271.05,2023-04-26 20:16:00,Wire,0
A415,A195,1117.88,2023-05-21 13:36:00,CreditCard,0
A18,A64,6801.68,2023-07-02 21:05:00,CashDeposit,0
A51,A447,6627.47,2023-11-04 16:04:00,Wire,0
A466,A233,3834.77,2023-01-06 14:06:00,CreditCard,0
A335,A496,697.55,2023-02-26 04:49:00,ACH,0
A496,A135,972.58,2023-05-04 06:23:00,CashDeposit,0
A332,A41,3809.45,2023-11-07 02:50:00,DebitCard,0
A439,A273,762.29,2023-05-19 08:34:00,DebitCard,0
A454,A388,371.44,2023-06-27 15:45:00,CashDeposit,0
A35,A120,1627.47,2023-08-18 19:10:00,DebitCard,0
A382,A46,5502.59,2023-06-08 00:06:00,ACH,0
A360,A446,2381.65,2023-02-06 14:14:00,Wire,0
A153,A462,1688.22,2023-01-11 12:56:00,ACH,0
A28,A150,204.46,2023-05-11 12:18:00,DebitCard,0
A125,A271,1909.06,2023-05-31 00:33:00,CashDeposit,0
A92,A87,9221.14,2023-03-05 17:46:00,ACH,0
A195,A317,301.84,2023-09-06 17:19:00,CreditCard,0
A298,A73,1460.99,2023-03-26 12:53:00,Wire,0
A235,A130,4197.22,2023-08-31 18:56:00,ACH,0
A238,A461,2700.07,2023-04-15 17:21:00,CashDeposit,0
A226,A483,2388.15,2023-05-06 19:35:00,CashDeposit,0
A492,A217,2424.58,2023-09-09 08:03:00,DebitCard,0
A154,A101,890.98,2023-05-21 01:30:00,Wire,0
A195,A292,695.12,2023-05-11 16:37:00,CashDeposit,0
A358,A151,3314.75,2023-01-08 23:42:00,Wire,0
A289,A442,3322.66,2023-09-07 16:36:00,ACH,0
A381,A254,4035.9,2023-10-31 05:27:00,DebitCard,0
A117,A310,4889.23,2023-10-19 23:23:00,DebitCard,0
A97,A317,1432.19,2023-04-02 06:00:00,CreditCard,0
A462,A321,1392.37,2023-08-24 07:48:00,ACH,0
A225,A17,3201.9,2023-07-31 00:23:00,DebitCard,0
A46,A465,2099.44,2023-04-18 10:42:00,DebitCard,0
A89,A102,2421.1,2023-02-18 02:49:00,CashDeposit,0
A187,A271,3177.24,2023-07-02 16:44:00,DebitCard,0
A131,A467,4414.65,2023-10-28 06:14:00,Wire,0
A151,A382,824.96,2023-11-13 21:38:00,DebitCard,0
A239,A493,941.87,2023-01-28 09:58:00,CreditCard,0
A115,A440,197.39,2023-09-04 05:48:00,Wire,0
A411,A285,1726.83,2023-05-14 04:11:00,ACH,0
A7,A135,73.21,2023-07-15 08:38:00,ACH,0
A344,A383,1253.21,2023-09-02 19:00:00,DebitCard,0
A421,A326,1564.59,2023-12-09 08:23:00,DebitCard,0
A119,A241,675.26,2023-01-10 02:40:00,CashDeposit,0
A287,A167,1787.27,2023-11-30 05:37:00,CashDeposit,0
A32,A325,61.95,2023-10-27 22:57:00,Wire,0
A154,A332,76.13,2023-05-29 15:44:00,ACH,0
A484,A19,3458.7,2023-04-21 19:34:00,Wire,0
A120,A454,893.17,2023-07-15 17:09:00,CreditCard,0
A189,A343,271.78,2023-12-12 15:48:00,CashDeposit,0
A380,A372,1477.31,2023-02-26 06:14:00,Wire,0
A426,A250,2939.3,2023-08-13 03:39:00,Wire,0
A143,A16,486.24,2023-09-09 07:45:00,DebitCard,0
A227,A486,1950.44,2023-03-27 23:11:00,DebitCard,0
A351,A188,178.42,2023-07-18 05:36:00,DebitCard,0
A141,A97,106.13,2023-02-14 11:26:00,Wire,0
A108,A328,1515.82,2023-08-21 19:58:00,CashDeposit,0
A25,A402,1555.82,2023-05-02 10:14:00,CreditCard,0
A402,A289,2029.07,2023-03-16 17:06:00,ACH,0
A283,A106,2589.92,2023-08-02 11:53:00,CreditCard,0
A119,A168,7447.11,2023-10-09 22:32:00,CreditCard,0
A305,A1,1452.58,2023-04-11 22:51:00,CreditCard,0
A276,A128,780.04,2023-10-18 17:31:00,CreditCard,0
A443,A13,3171.31,2023-02-17 23:42:00,ACH,0
A403,A121,631.7,2023-08-03 09:28:00,DebitCard,1
A135,A26,1155.97,2023-02-16 03:37:00,Wire,0
A381,A32,163.41,2023-06-23 09:30:00,Wire,0
A262,A303,51.36,2023-02-09 16:55:00,Wire,0
A484,A314,6574.76,2023-01-16 18:55:00,CashDeposit,0
A329,A493,3615.54,2023-01-12 08:11:00,ACH,0
A433,A205,2381.29,2023-06-05 04:50:00,ACH,0
A465,A227,1051.72,2023-01-27 18:10:00,ACH,0
A75,A33,380.61,2023-02-15 22:40:00,DebitCard,0
A299,A280,340.24,2023-09-17 06:53:00,DebitCard,0
A305,A271,576.01,2023-04-18 08:51:00,Wire,0
A220,A50,1593.58,2023-10-16 18:10:00,ACH,0
A333,A449,2507.7,2023-10-07 23:17:00,CashDeposit,0
A110,A220,2158.78,2023-06-14 09:44:00,CreditCard,0
A423,A232,656.82,2023-05-26 04:09:00,Wire,0
A160,A218,6196.21,2023-04-24 18:52:00,DebitCard,0
A78,A351,2678.03,2023-12-03 01:09:00,Wire,0
A425,A43,1616.46,2023-02-03 22:39:00,Wire,0
A378,A190,1892.06,2023-10-23 13:20:00,CreditCard,0
A300,A489,1088.08,2023-07-24 11:13:00,CashDeposit,0
A62,A210,569.32,2023-05-09 17:47:00,Wire,0
A369,A26,880.03,2023-04-15 17:20:00,CashDeposit,0
A53,A295,2836.36,2023-07-04 17:50:00,CreditCard,0
A246,A114,29.0,2023-11-05 11:36:00,ACH,0
A284,A188,246.76,2023-02-11 19:52:00,DebitCard,0
A413,A219,94.19,2023-11-04 17:04:00,CashDeposit,0
A419,A318,83.16,2023-08-12 09:29:00,CashDeposit,1
A475,A336,3868.41,2023-10-29 23:56:00,DebitCard,1
A139,A359,2432.48,2023-10-05 14:02:00,DebitCard,0
A179,A3,1285.57,2023-03-08 01:08:00,CreditCard,0
A205,A35,205.91,2023-02-21 15:43:00,ACH,0
A271,A110,1353.04,2023-05-17 23:14:00,Wire,0
A80,A189,1282.9,2023-04-24 11:07:00,DebitCard,0
A290,A305,380.39,2023-01-31 22:21:00,ACH,0
A386,A316,1137.8,2023-01-19 02:49:00,ACH,0
A338,A217,1016.67,2023-06-26 19:46:00,CashDeposit,0
A139,A110,1913.44,2023-10-02 20:47:00,CashDeposit,0
A220,A56,2016.23,2023-04-14 03:02:00,CashDeposit,0
A341,A157,92.72,2023-01-17 12:51:00,CreditCard,0
A306,A28,938.77,2023-01-03 19:10:00,CreditCard,0
A108,A392,1966.25,2023-02-19 23:10:00,DebitCard,0
A61,A3,1398.88,2023-07-01 02:13:00,Wire,0
A194,A272,3882.7,2023-09-14 04:46:00,CreditCard,0
A426,A342,2149.95,2023-10-21 12:41:00,DebitCard,0
A441,A379,355.71,2023-01-16 09:38:00,Wire,1
A471,A39,146.36,2023-11-10 21:13:00,DebitCard,0
A293,A207,2056.79,2023-09-16 07:41:00,Wire,0
A207,A10,53.74,2023-04-29 05:52:00,CreditCard,0
A316,A235,1762.69,2023-10-30 22:21:00,DebitCard,0
A432,A54,5634.51,2023-03-30 14:07:00,Wire,0
A268,A40,1713.56,2023-05-25 02:15:00,DebitCard,0
A113,A170,982.6,2023-10-11 16:02:00,CreditCard,0
A324,A58,2061.65,2023-07-13 04:29:00,CashDeposit,0
A397,A178,1225.91,2023-05-08 19:57:00,CreditCard,0
A74,A131,1577.63,2023-03-13 19:47:00,CreditCard,0
A389,A388,5676.25,2023-08-27 15:55:00,ACH,0
A395,A321,975.86,2023-06-29 21:39:00,Wire,0
A389,A296,6498.18,2023-06-13 10:35:00,CashDeposit,0
A319,A165,4715.15,2023-11-11 15:54:00,DebitCard,0
A34,A240,435.79,2023-06-11 00:04:00,DebitCard,0
A302,A28,143.77,2023-05-09 03:19:00,CashDeposit,0
A236,A231,212.45,2023-01-14 16:37:00,ACH,0
A146,A39,36.78,2023-08-23 17:10:00,ACH,0
A259,A196,198.41,2023-06-18 11:14:00,CashDeposit,0
A405,A378,2297.75,2023-11-23 04:17:00,ACH,0
A414,A292,147.7,2023-08-26 07:50:00,CreditCard,0
A243,A256,768.31,2023-02-24 22:14:00,ACH,0
A415,A460,3727.05,2023-11-01 21:06:00,DebitCard,0
A43,A258,47.09,2023-08-24 05:56:00,CreditCard,0
A362,A224,3369.06,2023-06-09 23:43:00,CashDeposit,0
A81,A186,662.17,2023-05-16 18:01:00,DebitCard,0
A396,A173,251.5,2023-09-05 04:17:00,CashDeposit,0
A323,A331,2386.31,2023-05-02 20:12:00,ACH,0
A285,A347,1982.8,2023-05-21 17:50:00,DebitCard,0
A436,A336,4198.83,2023-11-26 23:44:00,CashDeposit,0
A170,A41,2656.59,2023-08-01 04:03:00,CreditCard,0
A158,A495,3253.99,2023-08-27 20:41:00,Wire,0
A362,A480,662.67,2023-01-31 20:17:00,DebitCard,0
A329,A405,390.67,2023-04-30 14:16:00,CreditCard,0
A424,A484,2777.51,2023-09-26 23:30:00,CashDeposit,0
A343,A216,3288.42,2023-07-05 03:14:00,DebitCard,1
A158,A92,9314.01,2023-12-13 07:26:00,CreditCard,0
A392,A248,1064.16,2023-03-11 21:46:00,CreditCard,0
A79,A39,930.49,2023-04-18 16:40:00,ACH,0
A276,A427,2995.91,2023-09-26 22:22:00,CashDeposit,0
A172,A448,833.47,2023-10-07 00:05:00,CashDeposit,0
A192,A78,5340.28,2023-03-01 01:44:00,CreditCard,0
A394,A319,3909.68,2023-10-22 13:31:00,CreditCard,0
A22,A210,1120.71,2023-05-13 15:17:00,CreditCard,0
A312,A145,2779.57,2023-10-01 22:29:00,Wire,0
A122,A158,2809.27,2023-10-22 09:51:00,Wire,0
A99,A188,217.68,2023-09-04 23:08:00,CashDeposit,0
A236,A393,4656.89,2023-04-13 14:09:00,Wire,0
A214,A494,1407.41,2023-03-01 00:05:00,CreditCard,0
A70,A446,3502.67,2023-04-02 00:33:00,ACH,0
A447,A190,771.47,2023-07-21 21:39:00,ACH,0
A264,A435,4517.58,2023-02-15 09:27:00,DebitCard,0
A82,A139,985.98,2023-06-13 14:12:00,CashDeposit,0
A223,A46,21.79,2023-12-11 13:53:00,CreditCard,0
A452,A178,4715.81,2023-12-05 18:35:00,ACH,0
A202,A257,191.45,2023-05-17 03:43:00,CreditCard,0
A41,A191,769.31,2023-03-23 18:02:00,ACH,0
A50,A429,5993.94,2023-09-18 05:10:00,DebitCard,0
A70,A19,6015.9,2023-04-15 10:47:00,Wire,0
A71,A388,1703.99,2023-09-14 21:04:00,Wire,0
A2,A463,1998.46,2023-01-29 20:17:00,ACH,0
A427,A76,1190.03,2023-07-19 19:31:00,CashDeposit,0
A56,A397,694.05,2023-04-15 21:28:00,CreditCard,0
A24,A122,796.97,2023-06-02 20:29:00,CashDeposit,0
A56,A428,2232.65,2023-11-26 13:17:00,Wire,0
A8,A323,2791.68,2023-07-07 15:25:00,CashDeposit,0
A73,A149,3136.39,2023-06-06 06:44:00,ACH,0
A123,A292,3117.66,2023-06-01 16:01:00,CreditCard,0
A43,A268,191.27,2023-05-12 07:00:00,ACH,0
A278,A259,1364.1,2023-10-14 07:46:00,CashDeposit,0
A199,A447,118.56,2023-06-21 04:06:00,ACH,0
A191,A129,1594.92,2023-09-30 02:09:00,ACH,0
A34,A176,1165.11,2023-03-29 18:59:00,ACH,0
A376,A387,4373.24,2023-05-02 01:35:00,CreditCard,0
A279,A173,864.38,2023-10-24 04:32:00,CreditCard,0
A350,A237,249.01,2023-09-11 04:24:00,Wire,0
A415,A69,308.62,2023-01-23 23:22:00,Wire,0
A103,A22,2866.86,2023-10-16 00:49:00,CreditCard,0
A161,A477,1925.81,2023-04-23 21:29:00,CashDeposit,0
A417,A278,213.22,2023-06-22 08:37:00,DebitCard,0
A331,A97,175.71,2023-04-15 04:04:00,DebitCard,0
A24,A443,2414.42,2023-08-27 17:52:00,DebitCard,0
A409,A188,151.09,2023-06-09 02:08:00,Wire,0
A458,A489,3450.37,2023-05-21 18:33:00,DebitCard,0
A254,A354,2450.0,2023-07-01 03:25:00,DebitCard,0
A265,A136,169.7,2023-10-19 16:32:00,ACH,0
A40,A220,177.31,2023-08-08 08:19:00,CreditCard,0
A164,A52,8630.92,2023-01-30 03:39:00,DebitCard,0
A156,A228,937.68,2023-08-08 09:47:00,Wire,0
A227,A179,926.11,2023-06-12 19:04:00,ACH,0
A466,A180,3351.15,2023-08-12 20:39:00,Wire,0
A405,A485,5884.33,2023-01-21 21:12:00,ACH,0
A207,A186,8537.55,2023-07-06 19:24:00,CreditCard,0
A73,A434,2799.8,2023-08-10 05:03:00,Wire,0
A34,A120,944.04,2023-10-11 10:46:00,DebitCard,0
